,hora,temp_inst,umid_inst,vento_rajada,diff_wind
461,4,24.6,89,2.4,1.9
462,5,24.7,90,1.9,0.8999999999999999
463,6,24.3,90,2.4,2.1
464,7,23.8,91,1.3,1.0
465,8,23.6,91,1.4,1.2
466,9,23.2,91,1.8,0.8
467,10,24.6,77,5.8,3.0999999999999996
468,12,27.8,66,7.8,4.8
469,13,28.8,57,9.1,5.8999999999999995
470,14,29.3,55,8.0,4.4
471,15,30.2,55,8.2,4.799999999999999
472,16,30.3,51,8.9,5.6000000000000005
473,17,30.8,53,8.9,5.0
474,18,29.4,60,9.9,5.5
475,19,28.9,65,9.9,6.4
476,20,27.8,70,8.2,4.999999999999999
477,21,26.9,75,6.8,4.6
478,22,26.5,78,4.9,3.4000000000000004
479,23,26.4,79,4.1,2.5999999999999996
480,21,27.2,76,6.4,4.0
481,0,26.2,83,4.4,3.6000000000000005
482,1,26.4,81,3.5,2.2
483,2,26.8,78,5.2,3.1
484,3,27.0,73,7.3,4.199999999999999
485,4,26.5,73,6.6,4.199999999999999
486,5,25.8,74,6.6,4.6
487,6,24.9,77,6.2,4.4
488,7,23.7,82,4.6,2.5999999999999996
489,8,23.3,77,6.2,4.1
490,9,22.8,76,6.4,3.9000000000000004
491,10,23.7,72,7.2,4.7
492,22,26.7,79,5.5,3.9
493,23,26.5,81,3.8,2.5999999999999996
494,11,25.6,63,7.7,4.800000000000001
495,12,27.3,54,7.7,4.300000000000001
496,13,28.6,53,8.1,4.5
497,14,30.0,52,10.1,6.699999999999999
498,15,30.9,51,10.6,7.3
499,16,30.5,50,9.7,6.3999999999999995
500,17,30.7,55,10.1,6.699999999999999
501,18,30.4,60,8.1,5.0
502,19,29.7,62,7.3,4.1
503,20,28.4,68,7.5,4.8
504,12,27.5,56,8.1,5.3
505,15,30.2,50,9.4,5.7
506,14,29.1,55,9.4,5.6000000000000005
507,13,28.2,55,9.0,5.2
508,16,31.1,47,9.4,6.5
509,11,25.0,71,6.0,3.4
510,10,24.0,75,5.3,3.3
511,9,23.4,79,3.9,2.5
512,8,23.3,78,5.2,3.8000000000000003
513,7,23.9,77,5.6,3.3
514,6,24.4,85,4.7,2.7
515,5,24.2,89,2.7,2.1
516,4,25.0,88,2.7,1.3000000000000003
517,3,25.4,87,1.9,0.7
518,2,25.7,85,3.1,2.5
519,1,26.5,83,3.1,2.6
520,0,26.3,82,3.3,2.1999999999999997
521,23,25.6,80,2.6,2.0
522,22,26.5,77,4.0,3.1
523,21,26.7,72,7.0,5.4
524,20,27.9,62,6.8,4.199999999999999
525,19,29.6,59,5.3,3.4
526,18,30.2,57,8.1,5.3
527,17,30.4,49,8.4,5.5
