,Unnamed: 0,i,j,rmse,r2
163,163,270.0,120.0,28.758515097816552,-0.03324574273104619
164,164,270.0,150.0,28.30416456854546,-0.0008555219110957246
165,165,270.0,180.0,28.399635547157164,-0.0076187533210680955
166,166,270.0,210.0,28.462938148025266,-0.012115710735211449
167,167,270.0,240.0,28.478471849487534,-0.013220740254162644
168,168,270.0,270.0,28.481597962748033,-0.013443197179204171
169,169,270.0,300.0,28.481711970866648,-0.013451310557086591
170,170,270.0,330.0,28.480686769100643,-0.01337835332929771
171,171,270.0,360.0,28.357329732919954,-0.004618969678920726
172,172,270.0,390.0,28.481905770402165,-0.01346510235876375
173,173,270.0,420.0,28.330789132704798,-0.0027393348053039728
174,174,270.0,450.0,28.481967586051766,-0.013469501507622716
175,175,270.0,480.0,28.48219786856448,-0.013485889788814156
176,176,270.0,510.0,28.333719016464553,-0.002946746013892998
177,177,270.0,540.0,28.48215896480847,-0.01348312115550665
178,178,270.0,570.0,28.32850533278449,-0.0025776757919071525
179,179,270.0,600.0,28.48221456929616,-0.013487078317940382
180,180,300.0,30.0,81.75382353520419,-7.350007292623093
181,181,300.0,60.0,49.69780332909911,-2.085638853619482
182,182,300.0,90.0,34.46262006017075,-0.4837724137662314
183,183,300.0,120.0,28.783460981706448,-0.035039048629620366
184,184,300.0,150.0,28.29501140291525,-0.0002083016002052407
185,185,300.0,180.0,28.412300798858514,-0.008517679700337677
186,186,300.0,210.0,28.4606361170274,-0.011952001176662508
187,187,300.0,240.0,28.479092312513533,-0.01326489099779926
188,188,300.0,270.0,28.481527735789584,-0.013438199499955727
189,189,300.0,300.0,28.481878981279202,-0.013463195897258196
190,190,300.0,330.0,28.481785176131,-0.01345652022050281
191,191,300.0,360.0,28.481947955273107,-0.013468104470108377
192,192,300.0,390.0,28.48191787078785,-0.013465963489428523
193,193,300.0,420.0,28.48206065661839,-0.013476124949952428
194,194,300.0,450.0,28.348653221027217,-0.004004295800254631
195,195,300.0,480.0,28.33345633845139,-0.002928149737337238
196,196,300.0,510.0,28.30384156193169,-0.0008326785512382529
197,197,300.0,540.0,28.482137636946746,-0.013481603333785008
198,198,300.0,570.0,28.25961382180107,0.0022926910912347553
199,199,300.0,600.0,28.48215342721612,-0.013482727066291613
200,200,330.0,30.0,81.53609685562623,-7.305591058364444
201,201,330.0,60.0,51.55235342768743,-2.3202264158959696
202,202,330.0,90.0,34.111503400130694,-0.4536920966851328
203,203,330.0,120.0,28.73060154948699,-0.03124094117548637
204,204,330.0,150.0,28.296649294723306,-0.00032410154640682975
205,205,330.0,180.0,28.40272061180353,-0.007837681330219226
206,206,330.0,210.0,28.46237550555172,-0.012075697040516031
207,207,330.0,240.0,28.478230781000477,-0.01320358662608867
208,208,330.0,270.0,28.48161993629586,-0.0134447609223054
209,209,330.0,300.0,28.48197036101088,-0.01346969898952488
210,210,330.0,330.0,28.48192804282917,-0.013466687388679066
211,211,330.0,360.0,28.481838495904626,-0.013460314738471537
212,212,330.0,390.0,28.31103972101011,-0.0013418015892538993
213,213,330.0,420.0,28.306540892465108,-0.0010235859958391824
214,214,330.0,450.0,28.340921768893704,-0.0034567316825855343
215,215,330.0,480.0,28.29456886840117,-0.00017701529131652902
216,216,330.0,510.0,28.482080846292906,-0.01347756176736481
217,217,330.0,540.0,28.48212377292512,-0.013480616685407787
218,218,330.0,570.0,28.27058098842939,0.0015181479148044241
219,219,330.0,600.0,28.21463923748741,0.0054658247202661325
220,220,360.0,30.0,81.78153779262803,-7.355669498154215
221,221,360.0,60.0,50.148685402274744,-2.141881594024625
222,222,360.0,90.0,33.541545850265905,-0.4055194403386164
223,223,360.0,120.0,28.83278811671362,-0.03858964726336578
224,224,360.0,150.0,28.29377644687797,-0.00012099389022579563
225,225,360.0,180.0,28.402936037227157,-0.007852969632054174
226,226,360.0,210.0,28.463173854630075,-0.012132473821607979
