,hora,temp_inst,umid_inst,pto_orvalho_inst,pressao,vento_rajada,radiacao,precipitacao,vento_vel,diff_temp,diff_umid,diff_dew,diff_pressure,diff_wind
156,12,27.9,60,19.5,1011.2,6.9,1373.0,0.0,169,1.3999999999999986,5,1.2000000000000028,0.10000000000002274,3.5000000000000004
157,13,29.6,55,19.5,1010.9,7.7,1933.0,0.0,164,2.200000000000003,10,1.7000000000000028,0.3000000000000682,4.9
158,14,30.5,51,19.2,1010.6,8.0,2183.0,0.0,131,1.2999999999999972,9,1.9000000000000021,0.2999999999999545,5.1
159,15,30.8,48,18.5,1009.8,9.4,2271.0,0.0,98,1.5999999999999979,6,1.5,0.8000000000000682,5.2
160,16,30.9,49,19.1,1009.1,9.5,2213.0,0.0,108,0.6999999999999993,6,1.8000000000000007,0.6999999999999318,4.7
161,17,30.3,49,18.5,1008.7,9.2,1998.0,0.0,108,1.5,6,1.8999999999999986,0.39999999999997726,5.6
162,18,30.6,49,18.6,1008.4,8.0,1537.0,0.0,110,1.3000000000000007,5,1.5,0.40000000000009095,4.5
163,19,30.1,54,19.6,1008.7,7.9,1319.0,0.0,108,0.8999999999999986,6,1.3000000000000007,0.3000000000000682,4.800000000000001
164,20,28.2,63,20.6,1009.2,7.8,660.9,0.0,115,1.9000000000000021,10,1.2000000000000028,0.5,4.699999999999999
165,21,27.2,72,21.7,1009.5,6.5,72.58,0.0,111,1.0,9,1.1999999999999993,0.2999999999999545,4.4
166,22,27.0,74,21.9,1009.9,4.8,-3.54,0.0,94,0.3000000000000007,2,0.40000000000000213,0.39999999999997726,3.3
167,23,26.9,76,22.3,1010.2,4.7,-3.47,0.0,100,0.3000000000000007,2,0.5,0.3000000000000682,3.6
168,0,27.2,76,22.7,1010.7,3.9,-3.51,0.0,120,0.40000000000000213,1,0.5,0.5,2.5999999999999996
169,1,27.2,78,23.0,1010.8,3.8,-3.14,0.0,119,0.3000000000000007,2,0.5,0.1999999999999318,2.5
170,2,27.3,81,23.8,1010.9,4.7,-2.9,0.0,101,0.3000000000000007,3,0.6999999999999993,0.10000000000002274,2.8000000000000003
171,3,27.2,79,23.3,1010.6,4.9,-3.01,0.0,96,0.29999999999999716,3,0.6999999999999993,0.2999999999999545,3.2
172,4,27.1,77,22.7,1010.1,5.8,-3.46,0.0,102,0.3000000000000007,4,0.5,0.5,3.8
173,5,26.8,81,23.4,1009.8,5.0,-3.48,0.2,116,0.3000000000000007,4,0.7999999999999972,0.39999999999997726,3.2
174,6,25.7,89,23.7,1009.5,7.5,-2.93,1.2,134,1.6999999999999993,8,1.3999999999999986,0.39999999999997726,6.8
175,7,25.3,89,23.4,1009.5,6.0,-2.78,0.2,185,0.6000000000000014,2,0.6999999999999993,0.20000000000004547,5.2
176,8,24.1,90,22.3,1010.1,8.8,-0.53,7.4,112,1.1999999999999993,2,1.3000000000000007,0.7000000000000455,6.200000000000001
177,9,24.3,91,22.8,1010.2,8.8,15.06,6.2,163,0.5,2,0.6999999999999993,0.2999999999999545,7.4
178,10,25.0,91,23.5,1010.9,4.1,172.7,0.4,161,0.8000000000000007,1,0.6000000000000014,0.6999999999999318,2.8
179,11,26.8,80,23.0,1011.4,5.6,545.8,0.0,149,1.8000000000000007,11,0.8999999999999986,0.5,3.3999999999999995
180,12,27.9,67,21.2,1011.7,7.7,1127.0,0.0,162,1.1999999999999993,15,2.5,0.3000000000000682,5.2
181,13,29.5,61,21.3,1011.7,7.3,1883.0,0.0,161,1.8000000000000007,10,1.3000000000000007,0.09999999999990905,4.199999999999999
182,14,30.8,57,21.4,1011.2,7.7,2281.0,0.0,157,1.5,8,1.3999999999999986,0.5,4.800000000000001
183,15,29.7,57,20.2,1010.8,7.3,1403.0,0.0,150,1.5,5,1.5,0.40000000000009095,4.699999999999999
184,16,30.8,57,21.2,1010.1,7.0,2178.0,0.0,134,1.5999999999999979,7,1.6000000000000014,0.6999999999999318,4.7
185,17,30.5,56,20.6,1009.4,7.0,1636.0,0.0,102,1.2000000000000028,8,2.0,0.7000000000000455,3.9
186,18,30.2,55,20.1,1009.3,7.5,1711.0,0.0,101,0.6999999999999993,4,1.4000000000000021,0.10000000000002274,4.1
187,19,29.8,55,19.8,1009.6,8.5,1313.0,0.0,103,0.7999999999999972,4,1.1000000000000014,0.39999999999997726,5.3
188,20,28.4,62,20.4,1010.2,7.1,709.1,0.0,95,1.4000000000000021,7,1.1000000000000014,0.6000000000000227,3.4999999999999996
189,21,27.1,71,21.3,1010.5,6.7,77.52,0.0,97,1.2999999999999972,9,1.0,0.2999999999999545,4.6
190,22,26.8,75,22.1,1011.0,4.8,-3.54,0.0,106,0.3000000000000007,4,0.8000000000000007,0.5,3.1999999999999997
